,device_brand,5g,internal_memory,ram,days_used,price
2235,11,0,16.0,4.0,968,27652
2236,11,0,32.0,4.0,978,27156
2237,11,0,16.0,4.0,684,24800
2238,11,0,32.0,4.0,787,21514
2239,11,0,16.0,4.0,941,23870
2240,11,0,32.0,4.0,758,26412
2241,11,0,16.0,4.0,1043,26598
2242,11,0,16.0,4.0,635,24490
2243,11,0,16.0,4.0,1089,28954
2244,11,0,32.0,4.0,996,28396
2245,11,0,16.0,4.0,707,21266
2246,11,0,16.0,4.0,967,23436
2247,11,0,32.0,4.0,1014,26846
2248,11,0,256.0,0.25,997,26660
2249,11,0,16.0,4.0,731,24924
2250,11,0,16.0,4.0,844,21452
2251,11,0,1024.0,4.0,584,25234
2252,11,0,16.0,4.0,1018,29078
2253,11,0,16.0,4.0,1068,27218
2254,11,0,32.0,4.0,968,27156
2255,11,0,16.0,4.0,913,23994
2256,11,0,16.0,4.0,557,21762
2257,11,0,16.0,4.0,847,25110
2258,11,0,16.0,4.0,588,23126
2259,11,0,16.0,4.0,744,25048
2260,11,0,16.0,4.0,903,26846
2261,11,0,16.0,4.0,783,25358
2262,11,0,16.0,4.0,1010,25296
2263,11,0,16.0,4.0,703,24118
2264,11,0,16.0,4.0,712,24304
2265,11,0,16.0,4.0,786,24366
2266,11,0,16.0,4.0,1052,24304
2267,11,0,16.0,4.0,919,24118
2268,11,0,16.0,4.0,706,22630
2269,11,0,16.0,4.0,686,21328
2270,11,0,32.0,4.0,1049,28768
2271,11,0,32.0,4.0,1051,29636
2272,11,0,32.0,4.0,1025,27466
2273,11,0,16.0,4.0,913,29388
2274,11,0,16.0,4.0,1005,30008
2275,11,0,16.0,4.0,832,30690
2276,11,0,16.0,4.0,927,30628
2277,11,0,32.0,4.0,657,26288
2278,11,0,16.0,4.0,783,26102
2279,11,0,32.0,4.0,1039,27032
2280,11,0,16.0,4.0,972,24428
2281,11,0,32.0,4.0,884,24924
2282,11,0,16.0,4.0,626,25854
2283,11,0,64.0,4.0,561,28768
2284,11,0,32.0,4.0,652,24986
2285,11,0,16.0,4.0,1085,24676
2286,11,0,32.0,4.0,890,25110
2287,11,0,32.0,4.0,827,24428
2288,11,0,32.0,0.25,706,18166
2289,11,0,16.0,4.0,641,19530
2290,11,0,16.0,4.0,737,21700
2291,11,0,16.0,4.0,813,26350
2292,11,0,32.0,4.0,761,24428
2293,11,0,128.0,0.25,746,22382
2294,11,0,32.0,4.0,1087,22940
2295,11,0,32.0,4.0,767,22506
2296,11,0,16.0,4.0,699,26040
2297,11,0,32.0,4.0,570,22258
2298,11,0,32.0,4.0,1082,24738
2299,11,0,32.0,4.0,816,25358
2300,11,0,16.0,4.0,930,23188
2301,11,0,16.0,4.0,658,26908
2302,11,0,16.0,4.0,903,27466
2303,11,0,32.0,4.0,575,22692
2304,11,0,16.0,4.0,962,27590
2305,11,0,32.0,4.0,995,24862
2306,11,0,16.0,4.0,724,23436
2307,11,0,32.0,4.0,1023,24862
2308,11,0,16.0,4.0,601,23560
2309,11,0,32.0,4.0,766,24986
2310,11,0,16.0,4.0,1007,26784
2311,11,0,16.0,4.0,1009,24118
2312,11,0,16.0,4.0,1052,22816
2313,11,0,32.0,4.0,667,24118
2314,11,0,32.0,4.0,579,26412
2315,11,0,32.0,4.0,616,23436
2316,11,0,32.0,4.0,661,22630
2317,11,0,16.0,4.0,1043,21390
2318,11,0,32.0,4.0,708,24180
2319,11,0,32.0,4.0,1026,24304
2320,11,0,64.0,0.25,617,12586
2321,11,0,32.0,4.0,839,24986
2322,11,0,32.0,4.0,606,25482
2323,11,0,16.0,4.0,1009,23746
2324,11,0,32.0,0.25,789,14384
2325,11,0,512.0,0.25,818,19220
2326,11,0,32.0,4.0,665,26102
2327,11,0,128.0,0.25,555,14818
2328,11,0,16.0,4.0,1008,23374
2329,11,0,16.0,4.0,706,26288
2330,11,0,16.0,4.0,823,25854
2331,11,0,16.0,4.0,953,24924
2332,11,0,16.0,4.0,683,25978
2333,11,0,16.0,4.0,569,23250
